id,Name,Minimum players,Maximum players,Average game time,Year released,Mechanics,Category,Designer,More info URL,Image
837,Saboteur,3,10,30,2004,"Hand Management, Partnerships, Route/Network Building, Take That","Bluffing, Card Game, Exploration, Fantasy, Party Game",Fréderic Moyersoen,https://boardgamegeek.com/boardgame/9220/saboteur,https://cf.geekdo-images.com/0vJwP6NGa7GHPZKC3gplUw__original/img/TJDCd-PYySXmhQn-LC-y88JPA7U=/0x0/filters:format(jpeg)/pic3989824.jpg
838,Gravwell: Escape from the 9th Dimension,1,4,35,2013,"Action / Movement Programming, Card Drafting, Simultaneous Action Selection","Card Game, Racing, Science Fiction",Corey Young,https://boardgamegeek.com/boardgame/142992/gravwell-escape-9th-dimension,https://cf.geekdo-images.com/3SZ3nWQTVHNlXLgk0fl4Tg__original/img/FqVeUj6m4P4ZFysUeyuO9TDESbU=/0x0/filters:format(png)/pic2237646.png
839,Spot it!,2,8,15,2009,Pattern Recognition,"Card Game, Children's Game, Educational, Party Game, Real-time, Sports","Denis Blanchot, Guillaume Gille-Naves, Igor Polouchine",https://boardgamegeek.com/boardgame/63268/spot-it,https://cf.geekdo-images.com/b_6y9HdMqZMmFuOJ8o02yw__original/img/fjDTHrGyBj60ga-CUJTQYD2gW14=/0x0/filters:format(jpeg)/pic1203476.jpg
840,Royals,2,5,60,2014,"Area Control / Area Influence, Card Drafting, Set Collection",none,Peter Hawes,https://boardgamegeek.com/boardgame/165986/royals,https://cf.geekdo-images.com/Un-yHPPUaH7IpTfiG7ffkw__original/img/rOD_UORh5dzMisuJFBP7548XbkU=/0x0/filters:format(jpeg)/pic3021582.jpg
841,Rise of Empires,2,5,180,2009,"Area Control / Area Influence, Variable Phase Order, Worker Placement","Ancient, Civilization",Martin Wallace,https://boardgamegeek.com/boardgame/30658/rise-empires,https://cf.geekdo-images.com/ckbYcn2XmNr5GN1imz0XdA__original/img/WI-CiY2TAMspUBBADn8J86OZFbY=/0x0/filters:format(jpeg)/pic434539.jpg
842,Dice City,1,4,60,2015,"Dice Rolling, Take That, Worker Placement","City Building, Dice, Medieval",Vangelis Bagiartakis,https://boardgamegeek.com/boardgame/179572/dice-city,https://cf.geekdo-images.com/MNaY-iQRMX7d6ABvmr1ebw__original/img/_Hs-44zyfW6uermvZ9_BfrEVxWw=/0x0/filters:format(jpeg)/pic2561229.jpg
843,Rune Age,1,4,60,2011,"Co-operative Play, Deck / Pool Building, Dice Rolling, Hand Management, Variable Player Powers","Card Game, Fantasy",Corey Konieczka,https://boardgamegeek.com/boardgame/94362/rune-age,https://cf.geekdo-images.com/h_uE_Lzxu-xQxgbiZ98Vzg__original/img/cvISFBzdJTS0cNOymFFGoY4NaFk=/0x0/filters:format(jpeg)/pic973931.jpg
844,Factory Fun,2,5,45,2006,"Modular Board, Tile Placement","Industry / Manufacturing, Puzzle, Real-time",Corné van Moorsel,https://boardgamegeek.com/boardgame/24417/factory-fun,https://cf.geekdo-images.com/Q6Yl85arrnIhR2Icux1t-Q__original/img/zlEIlkDvomZxUvyyx_4ZZXBPgpY=/0x0/filters:format(jpeg)/pic802170.jpg
845,1856: Railroading in Upper Canada from 1856,3,6,300,1995,"Auction/Bidding, Route/Network Building, Stock Holding, Tile Placement","Economic, Trains",Bill Dixon,https://boardgamegeek.com/boardgame/423/1856-railroading-upper-canada-1856,https://cf.geekdo-images.com/zqZhLWMGNSHmWtRTWHEKYQ__original/img/73fmUuEnpamo0BpxdvoSTJ-eFKM=/0x0/filters:format(jpeg)/pic159311.jpg
846,The Magic Labyrinth,2,4,15,2009,"Dice Rolling, Grid Movement, Memory, Roll / Spin and Move, Route/Network Building","Children's Game, Fantasy, Maze, Memory",Dirk Baumann,https://boardgamegeek.com/boardgame/41916/magic-labyrinth,https://cf.geekdo-images.com/pxaH7_Vihsg-nJBsXLvCRA__original/img/aELxAoP908IOGflnALCRSaU16CU=/0x0/filters:format(jpeg)/pic953186.jpg
847,Power Struggle,3,5,105,2009,"Area Control / Area Influence, Variable Player Powers","Humor, Negotiation",Bauldric & Friends,https://boardgamegeek.com/boardgame/55697/power-struggle,https://cf.geekdo-images.com/ZYKXSv95IxAqOnzjQSu8NQ__original/img/b8VVjhdDwIda324YZcSo8M3lOaw=/0x0/filters:format(jpeg)/pic588429.jpg
848,Timeline: Inventions,2,8,15,2010,none,"Card Game, Educational, Trivia",Frédéric Henry,https://boardgamegeek.com/boardgame/85256/timeline-inventions,https://cf.geekdo-images.com/lm4VudewCcllbE9GzBOhww__original/img/2QYxy8WPFa0_jdZToXSZ4qLz3B8=/0x0/filters:format(jpeg)/pic7108036.jpg
849,Europe Engulfed,2,3,720,2003,"Action Point Allowance System, Area Movement, Dice Rolling, Secret Unit Deployment","Wargame, World War II","Jesse Evans, Rick Young",https://boardgamegeek.com/boardgame/6205/europe-engulfed,https://cf.geekdo-images.com/OadS3iCMp55aVjs8JVm0rQ__original/img/ZdrgGcwKuyRDg32_Q0OHwkyxE8s=/0x0/filters:format(jpeg)/pic36736.jpg
850,High Society,3,5,30,1995,Auction/Bidding,Card Game,Reiner Knizia,https://boardgamegeek.com/boardgame/220/high-society,https://cf.geekdo-images.com/_3wm5Ikl8NtF6oTQ5KT-1g__original/img/Dv5M1RcWQ6UEZyd2eAey-OfSsrU=/0x0/filters:format(jpeg)/pic3894197.jpg
851,Liberty or Death: The American Insurrection,1,4,360,2016,"Area Control / Area Influence, Dice Rolling, Variable Phase Order, Variable Player Powers","American Revolutionary War, Political, Wargame",Harold Buchanan,https://boardgamegeek.com/boardgame/165872/liberty-or-death-american-insurrection,https://cf.geekdo-images.com/9m47Um3r-WhRwgGa-Xqe8A__original/img/2mLvwv6VXr9ZKHrYtulF-8KGEPE=/0x0/filters:format(png)/pic2729630.png
852,Medina (second edition),2,4,60,2014,"Area Control / Area Influence, Press Your Luck, Tile Placement","Abstract Strategy, City Building",Stefan Dorra,https://boardgamegeek.com/boardgame/167270/medina-second-edition,https://cf.geekdo-images.com/AXQPpIEYd6uCDOm6xkW2Rg__original/img/FPcoYGcCy_3TXXpsghHe8iUyut8=/0x0/filters:format(jpeg)/pic2061270.jpg
853,Power Grid: The First Sparks,2,6,60,2011,"Area Movement, Card Drafting, Modular Board, Route/Network Building","Animals, Economic, Prehistoric",Friedemann Friese,https://boardgamegeek.com/boardgame/106662/power-grid-first-sparks,https://cf.geekdo-images.com/6zRKOQ-EvMrAQceQbbsGag__original/img/DNnJjnmlCRYVIpX5rFys7lW8Ciw=/0x0/filters:format(jpeg)/pic1102960.jpg
854,Giants,3,5,90,2008,"Auction/Bidding, Pick-up and Deliver, Route/Network Building, Worker Placement",Transportation,Fabrice Besson,https://boardgamegeek.com/boardgame/38862/giants,https://cf.geekdo-images.com/i-fW0VaS9gYuuYyp7G7fqg__original/img/dYamNgdrG0mnrtSrAvGis1Z1kCU=/0x0/filters:format(jpeg)/pic920285.jpg
855,Olympos,2,5,75,2011,"Area Control / Area Influence, Area Movement, Set Collection, Time Track","Ancient, Civilization, Fighting, Mythology, Territory Building",Philippe Keyaerts,https://boardgamegeek.com/boardgame/92319/olympos,https://cf.geekdo-images.com/QDOWPQa-1AzrA8U-fiMitw__original/img/ksoC-0GqLJGOnFs1BvooteuqY0U=/0x0/filters:format(jpeg)/pic1017479.jpg
856,Blue Moon,2,2,30,2004,"Auction/Bidding, Hand Management, Variable Player Powers","Card Game, Fantasy, Fighting",Reiner Knizia,https://boardgamegeek.com/boardgame/9446/blue-moon,https://cf.geekdo-images.com/6Ao12l2jSf8F8ZufO4DEHg__original/img/DcusAHDupSMnyo2deskmW7RIE2k=/0x0/filters:format(jpeg)/pic174185.jpg
857,Age of Renaissance,3,6,360,1996,"Area Movement, Auction/Bidding","Civilization, Economic, Medieval, Renaissance","Don Greenwood, Jared Scarborough",https://boardgamegeek.com/boardgame/26/age-renaissance,https://cf.geekdo-images.com/hNg-cufowH-csaTfzC_nPw__original/img/FXsJRqYH2tFltJrLqSlWdoZaJs8=/0x0/filters:format(jpeg)/pic5682587.jpg
858,Poker,2,10,60,1810,"Betting/Wagering, Player Elimination, Set Collection","Bluffing, Card Game",(Uncredited),https://boardgamegeek.com/boardgame/1115/poker,https://cf.geekdo-images.com/QhsvR9GY0LbTpj27fairWA__original/img/4ODyzAOOgoIJrUzLOjtzItR2uH0=/0x0/filters:format(jpeg)/pic186610.jpg
859,The Staufer Dynasty,2,5,90,2014,"Area Control / Area Influence, Card Drafting, Modular Board, Pattern Building, Set Collection",Medieval,Andreas Steding,https://boardgamegeek.com/boardgame/166226/staufer-dynasty,https://cf.geekdo-images.com/QanIzMjUIPQH9nitjnWALg__original/img/DXiMOY2irO5Rmzf3Aq1IopOLPDU=/0x0/filters:format(png)/pic2256945.png
860,Plague Inc.: The Board Game,1,4,60,2017,"Area Control / Area Influence, Hand Management, Route/Network Building, Simulation, Take That, Tile Placement, Worker Placement","Medical, Video Game Theme",James Vaughan,https://boardgamegeek.com/boardgame/195162/plague-inc-board-game,https://cf.geekdo-images.com/1IIgJ56qMAmlb73VdZqJYg__original/img/O5bT46JMOdcsVuDbQItra2k0iyY=/0x0/filters:format(jpeg)/pic3487954.jpg
861,Blokus 3D,2,4,20,2003,"Area Enclosure, Hand Management, Tile Placement","Abstract Strategy, Territory Building",Stefan Kögl,https://boardgamegeek.com/boardgame/6411/blokus-3d,https://cf.geekdo-images.com/Pp-LXETFo29L0HLo4fMCCw__original/img/R0Q9UPYZYJhmcmv60iP9PpT4bko=/0x0/filters:format(jpeg)/pic1478957.jpg
862,Call of Cthulhu: The Card Game,2,2,30,2008,"Card Drafting, Hand Management","Card Game, Collectible Components, Fantasy, Horror, Novel-based","Nate French, Eric M. Lang",https://boardgamegeek.com/boardgame/40270/call-cthulhu-card-game,https://cf.geekdo-images.com/yGQi9S7RGS2V5ZRdPy_UdA__original/img/v15fK4wVXVyk95ZsQfdetmj5FWA=/0x0/filters:format(jpeg)/pic1929811.jpg
863,Ca$h 'n Gun$,4,6,30,2005,"Player Elimination, Simultaneous Action Selection, Variable Player Powers","Bluffing, Card Game, Fighting, Humor, Mafia, Negotiation, Party Game",Ludovic Maublanc,https://boardgamegeek.com/boardgame/19237/cah-n-gun,https://cf.geekdo-images.com/_UpTZr1itCcHdnnbuTUnQQ__original/img/M1LCTvcRyUZPGk3tJge3MzKo9Hw=/0x0/filters:format(jpeg)/pic87523.jpg
864,The Little Prince: Make Me a Planet,2,5,25,2013,"Card Drafting, Set Collection","Novel-based, Territory Building","Antoine Bauza, Bruno Cathala",https://boardgamegeek.com/boardgame/134453/little-prince-make-me-planet,https://cf.geekdo-images.com/qrSFj8YArH-rUAwpUaTpPw__original/img/hzOdnLpx_JUNrvKUyTHsv95J0q0=/0x0/filters:format(jpeg)/pic3083205.jpg
865,Mascarade,2,13,30,2013,"Memory, Variable Player Powers","Bluffing, Medieval, Party Game",Bruno Faidutti,https://boardgamegeek.com/boardgame/139030/mascarade,https://cf.geekdo-images.com/OS3ckk3rZbwFi8en1rjiGQ__original/img/LhjLUWnk4Cy0ropDcLAA4A4V20w=/0x0/filters:format(jpeg)/pic1762410.jpg
866,Aeon's End: War Eternal,1,4,60,2017,"Card Drafting, Co-operative Play, Deck / Pool Building, Hand Management, Variable Phase Order, Variable Player Powers","Card Game, Fantasy, Science Fiction",Kevin Riley,https://boardgamegeek.com/boardgame/218417/aeons-end-war-eternal,https://cf.geekdo-images.com/H2st1bZH4O0FM46NhKMqyQ__original/img/wR0VHD6Svlp34wxKN6OHV4YZZgM=/0x0/filters:format(jpeg)/pic3430893.jpg
867,CV,2,4,60,2013,"Card Drafting, Dice Rolling, Hand Management, Press Your Luck, Set Collection, Simulation","Card Game, Dice, Humor",Filip Mi?u?ski,https://boardgamegeek.com/boardgame/143986/cv,https://cf.geekdo-images.com/WVXZAwPbX0LAYmXm4HiE6Q__original/img/uICa7YEQzyO4Ua2N7se200-lBvs=/0x0/filters:format(jpeg)/pic1968267.jpg
868,Watson & Holmes,2,7,75,2015,"Auction/Bidding, Memory, Modular Board, Paper-and-Pencil, Player Elimination, Simultaneous Action Selection","Bluffing, Deduction, Murder/Mystery, Novel-based",Jesús Torres Castro,https://boardgamegeek.com/boardgame/182694/watson-holmes,https://cf.geekdo-images.com/ztk4H_sQcqmiKt3Ai1Nkpw__original/img/tJNyXBkyhC3Mnt0k369U4v-5j6A=/0x0/filters:format(jpeg)/pic3477808.jpg
869,Ghost Blitz,2,8,20,2010,Pattern Recognition,"Action / Dexterity, Card Game, Children's Game, Real-time",Jacques Zeimet,https://boardgamegeek.com/boardgame/83195/ghost-blitz,https://cf.geekdo-images.com/tvZTjFnPvt2LrY6NGSbeuQ__original/img/iYrL_UZ6fhDNi8GdEjdq29yDguw=/0x0/filters:format(jpeg)/pic2034769.jpg
870,Carolus Magnus,2,4,60,2000,"Area Control / Area Influence, Dice Rolling, Hand Management, Modular Board, Partnerships","Abstract Strategy, Medieval, Territory Building",Leo Colovini,https://boardgamegeek.com/boardgame/481/carolus-magnus,https://cf.geekdo-images.com/HT2eLqEbib9ptJQrVSzOfg__original/img/is7-nY98d2N5hHKJQb-Y_sTIFAA=/0x0/filters:format(jpeg)/pic130679.jpg
871,Codex: Card-Time Strategy ? Deluxe Set,2,5,45,2016,"Deck / Pool Building, Hand Management, Secret Unit Deployment, Variable Player Powers","Card Game, Fantasy, Fighting, Video Game Theme",David Sirlin,https://boardgamegeek.com/boardgame/131111/codex-card-time-strategy-deluxe-set,https://cf.geekdo-images.com/Bj25TuQ1UPceQS7Z2muKAg__original/img/jMF0dtiX5nYhp1M6Ir9-DPdhoK8=/0x0/filters:format(png)/pic6690185.png
872,Star Wars: Epic Duels,2,6,30,2002,"Campaign / Battle Card Driven, Player Elimination, Roll / Spin and Move, Variable Player Powers","Fighting, Miniatures, Movies / TV / Radio theme, Science Fiction","Rob Daviau, Craig Van Ness",https://boardgamegeek.com/boardgame/3284/star-wars-epic-duels,https://cf.geekdo-images.com/wn1LAdKnmLSqSHpwp69_pA__original/img/Vymc8ceLF7bFDOBOiLAjlfXC_LM=/0x0/filters:format(jpeg)/pic1248093.jpg
873,Blokus Trigon,2,4,20,2006,"Area Enclosure, Hand Management, Tile Placement","Abstract Strategy, Territory Building",Bernard Tavitian,https://boardgamegeek.com/boardgame/21550/blokus-trigon,https://cf.geekdo-images.com/aPTEkOgzqLH4v-kY4M0zXQ__original/img/n5kvQb3ZR8Ga_s1_0imfrNZHHyw=/0x0/filters:format(jpeg)/pic5412064.jpg
874,A Fake Artist Goes to New York,5,10,20,2012,Line Drawing,"Bluffing, Deduction, Party Game",Jun Sasaki,https://boardgamegeek.com/boardgame/135779/fake-artist-goes-new-york,https://cf.geekdo-images.com/5Q5YHxJeVp6PAhfv5Ct0-g__original/img/yRNioltDOtjrTRXa0HHoTTCWNf8=/0x0/filters:format(png)/pic3678404.png
875,Ulm,2,4,75,2016,"Area Control / Area Influence, Set Collection","Medieval, Renaissance",Günter Burkhardt,https://boardgamegeek.com/boardgame/191876/ulm,https://cf.geekdo-images.com/geu4jwp2Zskpb4qjbBA1Nw__original/img/-fX3iabCxpVSztQhQYlJhr6ToMk=/0x0/filters:format(jpeg)/pic3193554.jpg
876,Himalaya,3,4,60,2002,"Action / Movement Programming, Area Control / Area Influence, Pick-up and Deliver, Set Collection, Simultaneous Action Selection","Economic, Medieval, Political",Régis Bonnessée,https://boardgamegeek.com/boardgame/3800/himalaya,https://cf.geekdo-images.com/qa8d1TPeRQU6LsubFQ_HtQ__original/img/f7001LFXi2NZhYAsfLlm2_uoy2U=/0x0/filters:format(jpeg)/pic1205729.jpg
877,Dead Men Tell No Tales,2,5,75,2015,"Action Point Allowance System, Co-operative Play, Dice Rolling, Grid Movement, Modular Board, Pick-up and Deliver, Variable Player Powers","Exploration, Fantasy, Fighting, Nautical, Pirates",Kane Klenko,https://boardgamegeek.com/boardgame/141423/dead-men-tell-no-tales,https://cf.geekdo-images.com/_pEgLxT-NQ3O1JR0MQYe8g__original/img/sFzIGhDs41kbycvIKcDFhHjykCk=/0x0/filters:format(png)/pic6314060.png
878,Successors (third edition),2,4,300,2008,"Area Control / Area Influence, Campaign / Battle Card Driven, Dice Rolling, Pick-up and Deliver, Point to Point Movement","Ancient, Wargame","Richard H. Berg, John B. Firer, Mark Simonitch",https://boardgamegeek.com/boardgame/26457/successors-third-edition,https://cf.geekdo-images.com/8ViFg7QgQXnbHVSPCrXM-Q__original/img/_X59kQT51kdYEkXNe2qRIapJ5NY=/0x0/filters:format(jpeg)/pic373193.jpg
879,Ad Astra,3,5,60,2009,"Action / Movement Programming, Simultaneous Action Selection, Trading, Variable Phase Order","Civilization, Science Fiction, Space Exploration","Bruno Faidutti, Serge Laget",https://boardgamegeek.com/boardgame/38343/ad-astra,https://cf.geekdo-images.com/frHkqmRoy8IHHGlF1_tcKg__original/img/r2s0bTcu6xcg--zqsZ9ZTmnVBA0=/0x0/filters:format(jpeg)/pic383353.jpg
880,Star Trek: Attack Wing,1,99,60,2013,"Action / Movement Programming, Dice Rolling, Simultaneous Action Selection, Variable Player Powers","Aviation / Flight, Miniatures, Movies / TV / Radio theme, Science Fiction","Christopher Guild, Andrew Parks",https://boardgamegeek.com/boardgame/139771/star-trek-attack-wing,https://cf.geekdo-images.com/HG8b7l5Eiwkh68SoS7DzDQ__original/img/9cC5I4laEq08GvgWLkkqjz4kIcY=/0x0/filters:format(jpeg)/pic1731799.jpg
881,The Civil War,2,2,1200,1983,"Dice Rolling, Hex-and-Counter, Simulation","American Civil War, Civil War, Post-Napoleonic, Wargame",Eric Lee Smith,https://boardgamegeek.com/boardgame/2081/civil-war,https://cf.geekdo-images.com/rR9ZtkfZ7SWWnZxfQinL4g__original/img/ZtoSFaeTRn6E0Ntf3hxYTVCPkZs=/0x0/filters:format(jpeg)/pic140475.jpg
882,Ys,2,4,90,2004,"Area Control / Area Influence, Auction/Bidding, Commodity Speculation","Bluffing, Medieval",Cyril Demaegd,https://boardgamegeek.com/boardgame/12761/ys,https://cf.geekdo-images.com/4CUtcDNWKT-r08P9B5CBmQ__original/img/VPQgQQHSC2ZyGQRyMG5zsWtKuxg=/0x0/filters:format(jpeg)/pic342165.jpg
883,Coup: Rebellion G54,3,6,15,2014,"Player Elimination, Take That, Variable Player Powers","Bluffing, Card Game, Deduction, Negotiation, Political",Rikki Tahta,https://boardgamegeek.com/boardgame/148943/coup-rebellion-g54,https://cf.geekdo-images.com/GSmvywVBtV0MSGCqnsulbQ__original/img/parnEMdyHhi507Ze-trzo18pndw=/0x0/filters:format(jpeg)/pic2809076.jpg
884,Tak,2,2,60,2017,"Grid Movement, Route/Network Building",Abstract Strategy,"James Ernest, Patrick Rothfuss",https://boardgamegeek.com/boardgame/197405/tak,https://cf.geekdo-images.com/pgJUsRt3inyH0hz3NyjU-w__original/img/-EfWE3NFHwEyMv5fSeMn4r_k1rI=/0x0/filters:format(jpeg)/pic6763305.jpg
885,TransAmerica,2,6,30,2001,Route/Network Building,"Trains, Transportation",Franz-Benno Delonge,https://boardgamegeek.com/boardgame/2842/transamerica,https://cf.geekdo-images.com/FvWQfKzBokVaMCurlavCwA__original/img/kmxBtpUdDUaiu9pgysoD9H--u1g=/0x0/filters:format(jpeg)/pic158561.jpg
886,Forge War,1,4,180,2015,"Grid Movement, Role Playing, Variable Phase Order, Worker Placement","Adventure, Economic, Fantasy, Industry / Manufacturing, Medieval",Isaac Childres,https://boardgamegeek.com/boardgame/146221/forge-war,https://cf.geekdo-images.com/UC4mmAOWoerj1SVrHJGQCg__original/img/Eg8IPR0kT-JDzSuobjs0OXSptqw=/0x0/filters:format(jpeg)/pic2296858.jpg
887,Battle Cry: 150th Civil War Anniversary Edition,2,2,45,2010,"Campaign / Battle Card Driven, Dice Rolling, Hand Management, Modular Board","American Civil War, Civil War, Wargame",Richard Borg,https://boardgamegeek.com/boardgame/88827/battle-cry-150th-civil-war-anniversary-edition,https://cf.geekdo-images.com/u4xiqZ7qGyFL4kT6P--n9A__original/img/70RxBZfoBzopqDEvKXB6TwYoY8Q=/0x0/filters:format(jpeg)/pic868728.jpg
888,Balloon Cup,2,2,30,2003,"Hand Management, Set Collection","Aviation / Flight, Card Game",Stephen Glenn,https://boardgamegeek.com/boardgame/5716/balloon-cup,https://cf.geekdo-images.com/YHPPsc22emFVr-eXHPd_BA__original/img/Tgf9oZJzPw3kKM1lrVNvtjPx7kk=/0x0/filters:format(jpeg)/pic63292.jpg
889,Warmachine Prime Mk II,2,4,60,2010,"Dice Rolling, Variable Player Powers","Fantasy, Miniatures, Wargame","Simon Berman, David Carl, Robert Hawkins, Ron Kruzie, Brian Putnam, Doug Seacat, Jason Soles, Matt Wilson",https://boardgamegeek.com/boardgame/67254/warmachine-prime-mk-ii,https://cf.geekdo-images.com/O0r2Ou5x7O2OGPuG698hyw__original/img/m33aoctjxpy3n8HRBfhmHCsnuHI=/0x0/filters:format(jpeg)/pic641067.jpg
890,"The Hunters: German U-Boats at War, 1939-43",1,2,120,2013,"Dice Rolling, Press Your Luck, Simulation","Wargame, World War II",Gregory M. Smith,https://boardgamegeek.com/boardgame/113873/hunters-german-u-boats-war-1939-43,https://cf.geekdo-images.com/6iCFBKMFJHLQNCPuHlsVhQ__original/img/kGiCwZCmg2doKtVyBk7VcaQXBVI=/0x0/filters:format(png)/pic1720387.png
891,51st State,2,4,90,2010,"Card Drafting, Hand Management, Variable Player Powers","Card Game, City Building, Economic, Science Fiction",Ignacy Trzewiczek,https://boardgamegeek.com/boardgame/73369/51st-state,https://cf.geekdo-images.com/BSUusTdG2TJQ_ffTiJaLuA__original/img/P9L6HeME9asmA7cXhT6fBpCztRs=/0x0/filters:format(jpeg)/pic1149172.jpg
892,Krosmaster: Arena,2,4,60,2012,"Action Point Allowance System, Card Drafting, Dice Rolling, Grid Movement, Variable Player Powers","Collectible Components, Fantasy, Fighting, Miniatures","Murat Célébi, Nicolas Degouy",https://boardgamegeek.com/boardgame/112138/krosmaster-arena,https://cf.geekdo-images.com/Upp9_QWvDcn7rpBqRtAvFw__original/img/X4TUMdNDKlpbJijyGIJNttDlkaI=/0x0/filters:format(png)/pic1573355.png
893,Magic Realm,1,16,240,1979,"Action / Movement Programming, Modular Board, Rock-Paper-Scissors, Role Playing, Simultaneous Action Selection, Variable Player Powers","Adventure, Exploration, Fantasy",Richard Hamblen,https://boardgamegeek.com/boardgame/22/magic-realm,https://cf.geekdo-images.com/X-wQkavJHlZaUqlL1ClEsA__original/img/VSzycwqmBGWE5aDokPi1aR57WUo=/0x0/filters:format(jpeg)/pic148345.jpg
894,Kodama: The Tree Spirits,2,5,40,2016,"Set Collection, Tile Placement","Abstract Strategy, Card Game",Daniel Solis,https://boardgamegeek.com/boardgame/181810/kodama-tree-spirits,https://cf.geekdo-images.com/c5plwwXh0T5S3spJqFwxNQ__original/img/dlYpy0q5Xp07AKGQvseHw9BFKmc=/0x0/filters:format(jpeg)/pic3291451.jpg
895,Space Cadets: Dice Duel,4,8,30,2013,"Action / Movement Programming, Dice Rolling, Grid Movement, Partnerships","Dice, Fighting, Party Game, Real-time, Science Fiction, Space Exploration","Geoff Engelstein, Sydney Engelstein",https://boardgamegeek.com/boardgame/142079/space-cadets-dice-duel,https://cf.geekdo-images.com/Uljj6hHeJMolOKmQ5ms5_A__original/img/eWWYznepvgjpWh3oOim_cq7Nlio=/0x0/filters:format(png)/pic1650556.png
896,Walnut Grove,1,4,60,2011,"Tile Placement, Worker Placement","American West, Farming","Paul Laane, Touko Tahkokallio",https://boardgamegeek.com/boardgame/103185/walnut-grove,https://cf.geekdo-images.com/nN7C0Z1gm6ZtYR1W75INfQ__original/img/Gf2dG3ofggYj86w1E2PNL_T_YoI=/0x0/filters:format(jpeg)/pic1132162.jpg
897,Havana,2,4,45,2009,"Hand Management, Memory, Set Collection, Simultaneous Action Selection","Bluffing, Card Game",Reinhard Staupe,https://boardgamegeek.com/boardgame/57925/havana,https://cf.geekdo-images.com/U_rF4BfVH4AfRC1xgvk4kw__original/img/_xr5JORsoEKWCZDDl0yHedA4kUk=/0x0/filters:format(jpeg)/pic572305.jpg
898,The Game,1,5,20,2015,"Co-operative Play, Hand Management","Card Game, Number",Steffen Benndorf,https://boardgamegeek.com/boardgame/173090/game,https://cf.geekdo-images.com/g4pn1ieUKfIhERl5Ym6joQ__original/img/ZcwvBXraym0wfre1sm9t1d44BBA=/0x0/filters:format(png)/pic4203279.png
899,World in Flames,2,7,6000,1985,"Area Movement, Dice Rolling, Hex-and-Counter","Wargame, World War II","Greg Pinder, Harry Rowland",https://boardgamegeek.com/boardgame/1499/world-flames,https://cf.geekdo-images.com/pBJ48Q4-88ChQEtPhQzTvw__original/img/kHdiF_pXtQnXTw15lQ8a0g29sTY=/0x0/filters:format(jpeg)/pic102339.jpg
900,I'm the Boss!,3,6,60,1994,"Dice Rolling, Hand Management, Roll / Spin and Move, Set Collection, Take That",Negotiation,Sid Sackson,https://boardgamegeek.com/boardgame/115/im-boss,https://cf.geekdo-images.com/apSWtxrC9oG-rBSg0Gheag__original/img/4zCcHZDn_4rIy8rVIODW_vWRC5w=/0x0/filters:format(jpeg)/pic130807.jpg
901,Arctic Scavengers,2,5,60,2009,"Card Drafting, Deck / Pool Building, Hand Management","Bluffing, Card Game, Fighting",Robert K. Gabhart,https://boardgamegeek.com/boardgame/41933/arctic-scavengers,https://cf.geekdo-images.com/XByHh6nI7S3pv6wn2lCodQ__original/img/Zds_zOEy5-15VjLJOA9HXRrHPI0=/0x0/filters:format(jpeg)/pic1114682.jpg
902,The Ancient World,2,4,90,2014,"Card Drafting, Dice Rolling, Set Collection, Worker Placement","Ancient, Civilization, Fantasy",Ryan Laukat,https://boardgamegeek.com/boardgame/147253/ancient-world,https://cf.geekdo-images.com/-trgBZRA5P4kk86FQuuI-A__original/img/u6MQJUERFyUq8Bhs8f-PKY-f0Gs=/0x0/filters:format(jpeg)/pic1951629.jpg
903,Breakout: Normandy,2,2,240,1992,Area-Impulse,"Wargame, World War II","Don Greenwood, James Stahler",https://boardgamegeek.com/boardgame/730/breakout-normandy,https://cf.geekdo-images.com/9NYEKmPccsWVxyaOlracbg__original/img/8throOJoHy1FQ56akF1FlbferEk=/0x0/filters:format(jpeg)/pic5069218.jpg
904,Turn the Tide,3,5,30,1997,"Hand Management, Simultaneous Action Selection",Card Game,Stefan Dorra,https://boardgamegeek.com/boardgame/1403/turn-tide,https://cf.geekdo-images.com/lg2cZmqHCdBWuYMFqnYHoA__original/img/7GqhodEFevjpNdLxkS6PrAqvmYE=/0x0/filters:format(jpeg)/pic725351.jpg
905,Thunderstone Advance: Numenera,1,5,90,2013,"Card Drafting, Deck / Pool Building, Hand Management","Card Game, Fantasy, Science Fiction","Joe Babbitt, Will M. Baker, Edward Bolme, Curt Crane, Mike Elliott, Jeff Quick, Mark Wootton",https://boardgamegeek.com/boardgame/142961/thunderstone-advance-numenera,https://cf.geekdo-images.com/LpsKXV2FJlbKwB29ZcYmYA__original/img/928NZBMM3AO3FufxFsSdBdZ2HsQ=/0x0/filters:format(jpeg)/pic1683747.jpg
906,DC Comics Deck-Building Game: Heroes Unite,2,5,45,2014,Deck / Pool Building,"Card Game, Comic Book / Strip",Erik V Larsen,https://boardgamegeek.com/boardgame/142852/dc-comics-deck-building-game-heroes-unite,https://cf.geekdo-images.com/IvOlXBETl01BbatK0f0DeA__original/img/5nfVlRAxGD-vHvTIoD9r6D4j0Is=/0x0/filters:format(png)/pic1747908.png
